...1,ID,DeathOrSampleDate,DateInfo,English,Latin,family,order,location,postal.code,province,Long,Lat,Remark,Surveillance,GenBank,UniqueID,Sample,CT
92,3180821001,2018-08-20,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Tytsjerksteradiel,9251,Friesland,6.002426,53.163623,CoordinatesConfidential_Mask!,DeadWildBirds,MN122243,AS201800122,brain,21
93,3180821002,2018-08-17,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Tytsjerksteradiel,9251,Friesland,6.002426,53.163623,CoordinatesConfidential_Mask!,DeadWildBirds,MN122244,AS201800123,brain,20.02
94,3180822003,2018-08-20,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Westerveld,7970,Drenthe,6.19174,52.87514,CoordinatesConfidential_Mask!,DeadWildBirds,MN122245,AS201800125,brain,25.03
95,3180822005,2018-08-20,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Hardenberg,7770,Overijssel,6.419867,52.614636,CoordinatesConfidential_Mask!,DeadWildBirds,MN122246,AS201800126,brain,24
96,3180822006,2018-08-21,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Groningen,9919,Groningen,6.7296,53.297176,CoordinatesConfidential_Mask!,DeadWildBirds,MN122247,AS201800127,brain,25.07
97,3180822007,2018-08-20,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Zuidhorn,9800,Groningen,6.399322,53.244352,CoordinatesConfidential_Mask!,DeadWildBirds,MN122248,AS201800128,brain,15.74
98,3180823001,2018-08-21,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Lochem,7240,Gelderland,6.416419,52.164029,CoordinatesConfidential_Mask!,DeadWildBirds,MN122249,AS201800129,brain,21.44
99,3180824002,2018-08-22,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Wunseradiel,8741,Friesland,5.50425,53.040959,CoordinatesConfidential_Mask!,DeadWildBirds,NA,AS201800175,brain,22.51
100,3180830002,2018-08-28,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bloemendaal,2050,N-Holland,4.591959,52.360836,CoordinatesConfidential_Mask!,DeadWildBirds,MN122250,AS201800150,brain,23.67
101,3180830003,2018-08-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bloemendaal,2050,N-Holland,4.591959,52.360836,CoordinatesConfidential_Mask!,DeadWildBirds,MN122251,AS201800151,brain,24.42
102,3180830007,2018-08-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bloemendaal,2050,N-Holland,4.591959,52.360836,CoordinatesConfidential_Mask!,DeadWildBirds,MN122252,AS201800152,brain,20.87
103,3180831005,2018-08-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Oldebroek,8079,Gelderland,6.1782768,52.0768757,CoordinatesConfidential_Mask!,DeadWildBirds,MN122253,AS201800154,brain,17.26
104,3180831008,2018-08-29,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Heerhugowaard,1700,N-Holland,4.840914,52.663067,CoordinatesConfidential_Mask!,DeadWildBirds,MN122254,AS201800155,brain,16.16
105,3180831032,2018-08-30,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Bosch en duin,3735,Utrecht,5.2428734,52.1194828,CoordinatesConfidential_Mask!,DeadWildBirds,MN122255,AS201800156,brain,17.99
106,3180904004,2018-09-03,DateFound,Common Blackbird,Turdus merula,Turdidae,Passeriformes,Borger-odoorn,7858,Drenthe,6.851028,52.851453,CoordinatesConfidential_Mask!,DeadWildBirds,MN122256,AS201800157,brain,22.89
