sequence_accession,collection_regionname,collection_countryname,collection_subdiv1name,collection_subdiv2name,host_sciname,host_commonname,date_ymd,date_dec,date_ym,date_y,date_tipdate,Organization
MZ754027,western europe,germany,thüringen,erfurt,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754028,western europe,germany,brandenburg,elbe-elster,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754029,western europe,germany,brandenburg,elbe-elster,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754030,western europe,germany,brandenburg,dahme-spreewald,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754031,western europe,germany,brandenburg,cottbus,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754032,western europe,germany,brandenburg,dahme-spreewald,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754033,western europe,germany,brandenburg,frankfurt (oder),turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754034,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754035,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754036,western europe,germany,thüringen,gotha,turdidae sp.,thrush sp.,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754037,western europe,germany,nordrhein-westfalen,köln,erithacus rubecula,european robin,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754038,western europe,germany,sachsen,dresden,columbidae sp.,pigeon/dove sp.,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754039,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754040,western europe,germany,baden-württemberg,göppingen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754041,western europe,germany,sachsen-anhalt,mansfeld-südharz,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754042,western europe,germany,sachsen-anhalt,altmarkkreis salzwedel,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754043,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754044,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754045,western europe,germany,sachsen,NA,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754046,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754047,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
MZ754048,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2016,2016,"Friedrich-Loeffler-Institut, INNT"
